Wisdom,Al-Kindi,"We must not be ashamed to admire the truth or to acquire it, from wherever it comes.",22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Category,Author,Text,Access Date (dmy),Source
Wisdom,Baltes And Colleagues,Deal with the contradictions of situations.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Baltes And Colleagues,Assess the consequences of an action for yourself and others.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Buddha,"Lead by nonviolence, righteousness, and equity.",22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Buddha,Actively discern good from evil and choose good.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Buddhism,Do actions that are unpleasant but give good results and don’t do actions that are pleasant but give bad results.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Field of psychology,Recognize the limits of your knowledge.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Field of psychology,Acknowledge uncertainty and change.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Field of psychology,Pay attention to context and the bigger picture.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Field of psychology,Integrate different perspectives of a situation.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Field of psychology,"Balance intrapersonal (self), interpersonal (others), and institutional (society) interests.",22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Field of psychology,Practice emotional regulation.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Nicholas Maxwell,New knowledge without wisdom can cause both harm and good.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Paradoxes,,Solomon's Paradox: people reflect more wisely on other people's problems than on their own.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Paradoxes,,Buridan's Ass: excessive indecision between options risks inaction and missed opportunities.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Paradoxes,,Hedonism Paradox: pursuing pleasure directly can reduce long-term happiness.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Paradoxes,,Willpower Paradox: people may do things better by focusing less directly on doing them.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Paradoxes,,Meno's Paradox: one cannot inquire about what they know or don't know.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Paradoxes,,Polanyi's Paradox: people can intuitively perform tasks but cannot articulate them.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Paradoxes,,Lottery Paradox: very low odds don’t make an event impossible.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Paradoxes,,Inventor's Paradox: solving general problems can reveal principles to solve specific problems.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Philosophy/Aesthetics,,Suspension Of Disbelief: ignoring the impossible aspects of fiction to enjoy it.,22 Oct 2025,https://en.wikipedia.org/wiki/Suspension_of_disbelief
Philosophy/Logic,,Occam's Razor: explanations that require fewer unjustified assumptions are more likely to be correct.,22 Oct 2025,https://en.wikipedia.org/wiki/Philosophical_razor
Philosophy/Logic,,Hanlon's Razor: actions that might seem malicious could be the result of stupidity.,22 Oct 2025,https://en.wikipedia.org/wiki/Philosophical_razor
Philosophy/Logic,,Hitchens’s Razor: claims asserted without evidence can be dismissed without evidence.,22 Oct 2025,https://en.wikipedia.org/wiki/Philosophical_razor
Philosophy/Logic,,Popper’s Falsifiability Criterion: scientific theories must be testable and falsifiable.,22 Oct 2025,https://en.wikipedia.org/wiki/Philosophical_razor
Philosophy/Logic,,Sagan Standard: extraordinary claims require extraordinary evidence.,22 Oct 2025,https://en.wikipedia.org/wiki/Philosophical_razor
Philosophy/Ethics,,Memento Mori: remember that your time is finite and you will inevitably die.,22 Oct 2025,https://en.wikipedia.org/wiki/Memento_mori
Philosophy/Ethics,,Chesterton's Fence: understand the reasons why something exists before you remove it.,22 Oct 2025,http://en.wikipedia.org/wiki/G._K._Chesterton
Project Management/Risk Management,,Swiss Cheese Model: no safeguard is perfect so use multiple to prevent a single point of failure.,22 Oct 2025,https://en.wikipedia.org/wiki/Swiss_cheese_model
Project Management/Risk Management,,Bus Factor: the risk of losing critical knowledge if key team members leave or die.,22 Oct 2025,https://en.wikipedia.org/wiki/Bus_factor
Psychology,,"Idea Metaphors: location (movement), object (manipulated), and food (consumed)",22 Oct 2025,https://sketchplanations.com/metaphors-for-ideas
Problem Solving,,"Rose, Thorn, Bud: ""What is going well?, ""What is not working?"", and ""What could we try?”",22 Oct 2025,https://sketchplanations.com/rose-thorn-bud
Problem Solving,,XY Problem: ensure the root cause of a problem is correctly identified before finding a solution.,22 Oct 2025,https://en.wikipedia.org/wiki/XY_problem
Problem Solving,,Yak Shaving: don’t get sidetracked by small trivial tasks that detract from the main goal.,22 Oct 2025,https://sketchplanations.com/yak-shaving
